127.0.0.1 - - [06/Jan/2022:21:26:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/animate.css/animate.css HTTP/1.1" 200 77749
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/fontawesome/css/fontawesome-all.css HTTP/1.1" 200 44007
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/bootstrap/css/bootstrap.css HTTP/1.1" 200 173597
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/slick/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/css/dot-icons.css HTTP/1.1" 200 8390
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:28 +0900] "GET /little-cinema/css/theme.css HTTP/1.1" 200 76846
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/ HTTP/1.1" 200 52540
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/parallax.js/parallax.js HTTP/1.1" 200 12276
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/js/jquery-3.3.1.js HTTP/1.1" 200 271750
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/bootstrap/js/bootstrap.js HTTP/1.1" 200 123765
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/waypoints/jquery.waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/slick/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/js/script.js HTTP/1.1" 200 20712
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:29 +0900] "GET /little-cinema/js/movie.js HTTP/1.1" 200 5982
